scenario_id,scenario_group_key,seed_event_count,member_row_count,core_start_line,core_end_line,window_start_line,window_end_line,start_timestamp,end_timestamp,duration_seconds
scenario_0032,10.0.19.39:56638-10.0.19.49:102,2,21,3,75,1,97,2026-02-14T01:39:34.309070,2026-02-14T01:40:09.619216,35.310146
scenario_0033,10.0.19.39:56638-10.0.19.49:102,1,17,164,164,130,205,2026-02-14T01:40:24.844795,2026-02-14T01:40:51.390529,26.545734
scenario_0034,10.0.19.39:56638-10.0.19.49:102,3,12,418,433,384,478,2026-02-14T01:42:11.409879,2026-02-14T01:42:51.077935,39.668056
scenario_0035,10.0.19.39:56638-10.0.19.49:102,1,10,503,503,477,548,2026-02-14T01:42:51.074031,2026-02-14T01:43:21.456894,30.382863
scenario_0036,10.0.19.39:56638-10.0.19.49:102,2,18,921,967,910,1012,2026-02-14T01:46:01.822248,2026-02-14T01:46:44.082608,42.26036
scenario_0037,10.0.19.39:56638-10.0.19.49:102,3,35,1088,1195,1058,1235,2026-02-14T01:47:04.121051,2026-02-14T01:48:12.462713,68.341662
scenario_0029,10.0.19.39:56634-10.0.19.48:102,1,10,1559,1559,1532,1603,2026-02-14T01:50:27.293002,2026-02-14T01:50:57.954971,30.661969
scenario_0001,10.0.19.39:56633-10.0.19.47:102,7,63,65420,65634,31483,65663,2026-02-14T05:30:52.584554,2026-02-14T10:28:11.343863,17838.759309
scenario_0030,10.0.19.39:56634-10.0.19.48:102,1,9,106364,106364,39207,106410,2026-02-14T06:32:54.147397,2026-02-14T15:57:25.877572,33871.730175
scenario_0038,10.0.19.39:56638-10.0.19.49:102,5,17,43103,43137,43075,43176,2026-02-14T07:07:17.382408,2026-02-14T07:08:08.267547,50.885139
scenario_0039,10.0.19.39:56638-10.0.19.49:102,5,17,56650,56680,56579,56717,2026-02-14T09:07:47.951585,2026-02-14T09:08:41.953034,54.001449
scenario_0040,10.0.19.39:56638-10.0.19.49:102,2,20,74321,74355,74298,74374,2026-02-14T11:37:50.896617,2026-02-14T11:38:22.357739,31.461122
scenario_0041,10.0.19.39:56638-10.0.19.49:102,2,22,85938,85976,85916,85993,2026-02-14T13:11:46.060344,2026-02-14T13:12:16.794203,30.733859
scenario_0042,10.0.19.39:56638-10.0.19.49:102,4,34,97173,97277,97166,97319,2026-02-14T14:42:42.820172,2026-02-14T14:43:49.870330,67.050158
scenario_0002,10.0.19.39:56633-10.0.19.47:102,2,22,97373,97400,97337,97411,2026-02-14T14:43:59.479414,2026-02-14T14:44:27.633097,28.153683
scenario_0043,10.0.19.39:56638-10.0.19.49:102,2,10,105997,105998,105974,106040,2026-02-14T15:54:02.271786,2026-02-14T15:54:32.862600,30.590814
scenario_0044,10.0.19.39:56638-10.0.19.49:102,2,11,106177,106179,106141,106220,2026-02-14T15:55:23.037211,2026-02-14T15:56:00.312339,37.275128
scenario_0045,10.0.19.39:56638-10.0.19.49:102,1,11,106321,106321,106303,106349,2026-02-14T15:56:40.508234,2026-02-14T15:57:01.111835,20.603601
scenario_0046,10.0.19.39:56638-10.0.19.49:102,2,21,106440,106474,106417,106512,2026-02-14T15:57:31.230291,2026-02-14T15:58:05.465440,34.235149
scenario_0003,10.0.19.39:56633-10.0.19.47:102,2,23,106517,106550,106470,106579,2026-02-14T15:57:51.824562,2026-02-14T15:58:30.905927,39.081365
scenario_0047,10.0.19.39:56638-10.0.19.49:102,3,12,106622,106628,106593,106674,2026-02-14T15:58:35.496722,2026-02-14T15:59:12.008487,36.511765
scenario_0048,10.0.19.39:56638-10.0.19.49:102,3,12,106766,106780,106741,106826,2026-02-14T15:59:41.969817,2026-02-14T16:00:15.501937,33.53212
