scenario_id,scenario_group_key,seed_event_count,member_row_count,core_start_line,core_end_line,window_start_line,window_end_line,start_timestamp,end_timestamp,duration_seconds
scenario_0004,10.0.19.39:56638-10.0.19.49:102,2,21,3,75,1,97,2026-02-14T01:39:34.309070,2026-02-14T01:40:09.619216,35.310146
scenario_0005,10.0.19.39:56638-10.0.19.49:102,1,17,164,164,130,205,2026-02-14T01:40:24.844795,2026-02-14T01:40:51.390529,26.545734
scenario_0006,10.0.19.39:56638-10.0.19.49:102,3,12,418,433,384,478,2026-02-14T01:42:11.409879,2026-02-14T01:42:51.077935,39.668056
scenario_0007,10.0.19.39:56638-10.0.19.49:102,2,10,502,503,477,548,2026-02-14T01:42:51.074031,2026-02-14T01:43:21.456894,30.382863
scenario_0008,10.0.19.39:56638-10.0.19.49:102,3,18,921,967,910,1012,2026-02-14T01:46:01.822248,2026-02-14T01:46:44.082608,42.26036
scenario_0009,10.0.19.39:56638-10.0.19.49:102,3,35,1088,1195,1058,1235,2026-02-14T01:47:04.121051,2026-02-14T01:48:12.462713,68.341662
scenario_0003,10.0.19.39:56634-10.0.19.48:102,2,10,1558,1559,1532,1603,2026-02-14T01:50:27.293002,2026-02-14T01:50:57.954971,30.661969
scenario_0001,10.0.19.39:56633-10.0.19.47:102,8,63,65420,65634,31483,65663,2026-02-14T05:30:52.584554,2026-02-14T10:28:11.343863,17838.759309
scenario_0010,10.0.19.39:56638-10.0.19.49:102,5,17,43103,43137,43075,43176,2026-02-14T07:07:17.382408,2026-02-14T07:08:08.267547,50.885139
scenario_0011,10.0.19.39:56638-10.0.19.49:102,5,17,56650,56680,56579,56717,2026-02-14T09:07:47.951585,2026-02-14T09:08:41.953034,54.001449
scenario_0012,10.0.19.39:56638-10.0.19.49:102,2,20,74321,74355,74298,74374,2026-02-14T11:37:50.896617,2026-02-14T11:38:22.357739,31.461122
scenario_0013,10.0.19.39:56638-10.0.19.49:102,2,22,85938,85976,85916,85993,2026-02-14T13:11:46.060344,2026-02-14T13:12:16.794203,30.733859
scenario_0014,10.0.19.39:56638-10.0.19.49:102,5,34,97173,97277,97166,97319,2026-02-14T14:42:42.820172,2026-02-14T14:43:49.870330,67.050158
scenario_0002,10.0.19.39:56633-10.0.19.47:102,2,22,97373,97400,97337,97411,2026-02-14T14:43:59.479414,2026-02-14T14:44:27.633097,28.153683
