line_number,timestamp,tag,seed_is_attack,supervised_is_anomaly,scenario_id,scenario_role,scenario_seed_count,scenario_member_count,scenario_group_key,scenario_window_start_line,scenario_window_end_line,scenario_core_start_line,scenario_core_end_line,scenario_start_timestamp,scenario_end_timestamp,scenario_duration_seconds,stream_id
14,2026-02-14T01:39:39.370445,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
15,2026-02-14T01:39:39.381181,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
16,2026-02-14T01:39:39.485612,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
17,2026-02-14T01:39:39.500251,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
18,2026-02-14T01:39:39.510014,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
19,2026-02-14T01:39:39.530507,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
20,2026-02-14T01:39:39.564666,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
21,2026-02-14T01:39:39.671050,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
36,2026-02-14T01:39:49.373060,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
37,2026-02-14T01:39:49.380868,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
39,2026-02-14T01:39:49.489201,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
40,2026-02-14T01:39:49.512625,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
41,2026-02-14T01:39:49.554592,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
42,2026-02-14T01:39:49.574112,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
43,2026-02-14T01:39:49.585824,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
44,2026-02-14T01:39:49.674638,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
61,2026-02-14T01:39:59.372072,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
62,2026-02-14T01:39:59.380856,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
63,2026-02-14T01:39:59.486262,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
64,2026-02-14T01:39:59.503830,normal,0,0,,normal,0,0,,,,,,,,0.0,10.0.19.35:102-10.0.19.39:56631
