scenario_id,scenario_role,line_number,timestamp,stream_id,src_ip,dst_ip,service,control_object,control_action,ctl_num,origin_identifier,final_tag,protocol_reasons,stat_reasons,anomaly_score,supervised_is_anomaly,meta_fusion_score,meta_prediction,sequence_branch_score,sequence_positive_prediction,review_label,keep_for_training,review_notes
scenario_0001,context,31483,2026-02-14T05:30:52.584554,10.0.19.39:56633-10.0.19.47:102,10.0.19.39,10.0.19.47,GET_NAME_LIST,,,,,normal,,,0.0,1,0.5176137372352795,0.0,0.20257755,0.0,,,
scenario_0001,context,31484,2026-02-14T05:30:52.632377,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,GET_NAME_LIST,,,,,normal,,,0.0,1,0.5890019312381544,0.0,0.17526643,0.0,,,
scenario_0001,context,65418,2026-02-14T10:26:31.900342,10.0.19.39:56633-10.0.19.47:102,10.0.19.39,10.0.19.47,WRITE,E01A103_CTRL/Q0CSWI1$CO$Pos,SBOw,123.0,SAT200: 10.0.19.39 Origin:128,normal,,,0.0,1,0.999903663923954,1.0,0.94090676,1.0,,,
scenario_0001,context,65419,2026-02-14T10:26:31.918887,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,WRITE,,,,,normal,,,0.0,1,0.9999443611754294,1.0,0.9930536,1.0,,,
scenario_0001,core,65420,2026-02-14T10:26:31.921813,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,UNCONFIRMED,,,,,failed-control,report_ctlnum_below_write_baseline;report_without_matching_write,,50.0,1,0.9999999992854676,1.0,0.99708873,1.0,,,
scenario_0001,context,65425,2026-02-14T10:26:34.976250,10.0.19.39:56633-10.0.19.47:102,10.0.19.39,10.0.19.47,WRITE,E01A103_CTRL/Q0CSWI1$CO$Pos,Oper,123.0,SAT200: 10.0.19.39 Origin:128,normal,,,0.0,1,0.9999640583067192,1.0,0.9992822,1.0,,,
scenario_0001,context,65426,2026-02-14T10:26:34.984058,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,WRITE,,,,,normal,,,0.0,1,0.9999641741003724,1.0,0.9994497,1.0,,,
scenario_0001,context,65427,2026-02-14T10:26:35.027000,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,UNCONFIRMED,,,,,normal,,,0.0,1,0.9999686067185666,1.0,0.99941254,1.0,,,
scenario_0001,context,65428,2026-02-14T10:26:35.043592,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,UNCONFIRMED,,,,,normal,,,0.0,1,0.999965321510248,1.0,0.99937195,1.0,,,
scenario_0001,context,65444,2026-02-14T10:26:41.928459,10.0.19.39:56633-10.0.19.47:102,10.0.19.39,10.0.19.47,WRITE,E01A103_CTRL/Q1CSWI1$CO$Pos,SBOw,124.0,SAT200: 10.0.19.39 Origin:128,normal,,,0.0,1,0.9999626048270128,1.0,0.99945563,1.0,,,
scenario_0001,context,65445,2026-02-14T10:26:41.934313,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,WRITE,,,,,normal,,,0.0,1,0.9999654834122366,1.0,0.9995028,1.0,,,
scenario_0001,core,65446,2026-02-14T10:26:41.945050,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,UNCONFIRMED,,,,,failed-control,report_ctlnum_regression;report_ctlnum_below_write_baseline;report_without_matching_write,,55.0,1,0.9999999997353376,1.0,0.9994148,1.0,,,
scenario_0001,context,65449,2026-02-14T10:26:44.526451,10.0.19.39:56633-10.0.19.47:102,10.0.19.39,10.0.19.47,WRITE,E01A103_CTRL/Q1CSWI1$CO$Pos,Oper,124.0,SAT200: 10.0.19.39 Origin:128,normal,,,0.0,1,0.9999457774533684,1.0,0.99936277,1.0,,,
scenario_0001,context,65450,2026-02-14T10:26:44.533281,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,WRITE,,,,,normal,,,0.0,1,0.9999627833038208,1.0,0.99950564,1.0,,,
scenario_0001,context,65451,2026-02-14T10:26:44.887565,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,UNCONFIRMED,,,,,normal,,,0.0,1,0.999965298530852,1.0,0.99945,1.0,,,
scenario_0001,context,65454,2026-02-14T10:26:45.515123,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,UNCONFIRMED,,,,,normal,,,0.0,1,0.9999669794628226,1.0,0.99936754,1.0,,,
scenario_0001,context,65464,2026-02-14T10:26:46.948801,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,UNCONFIRMED,,,,,normal,,,0.0,1,0.9999669609145704,1.0,0.9992894,1.0,,,
scenario_0001,context,65465,2026-02-14T10:26:46.967288,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,UNCONFIRMED,,,,,normal,,,0.0,1,0.9999690139071482,1.0,0.9993407,1.0,,,
scenario_0001,context,65466,2026-02-14T10:26:47.007604,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,UNCONFIRMED,,,,,normal,,,0.0,1,0.9999677946213728,1.0,0.99920887,1.0,,,
scenario_0001,context,65486,2026-02-14T10:26:56.968402,10.0.19.39:56633-10.0.19.47:102,10.0.19.39,10.0.19.47,GET_NAME_LIST,,,,,normal,,interarrival_outlier,25.0,1,0.997407441717273,1.0,0.9989998,1.0,,,
scenario_0001,context,65487,2026-02-14T10:26:56.972304,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,GET_NAME_LIST,,,,,normal,,interarrival_outlier,25.0,1,0.9867575526152332,1.0,0.9957302,1.0,,,
scenario_0001,context,65493,2026-02-14T10:27:01.805344,10.0.19.39:56633-10.0.19.47:102,10.0.19.39,10.0.19.47,WRITE,E01A103_CTRL/Q0CSWI1$CO$Pos,SBOw,125.0,SAT200: 10.0.19.39 Origin:128,normal,,,0.0,1,0.9998623555640528,1.0,0.99935704,1.0,,,
scenario_0001,context,65494,2026-02-14T10:27:01.813152,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,WRITE,,,,,normal,,,0.0,1,0.9999530829671404,1.0,0.9994399,1.0,,,
scenario_0001,core,65495,2026-02-14T10:27:01.819008,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,UNCONFIRMED,,,,,failed-control,report_ctlnum_regression;report_without_matching_write,,50.0,1,0.9999999991682448,1.0,0.9993957,1.0,,,
