artifact_group,relative_path,size_bytes,size_mb,git_safe,recommended_publication
raw_dataset,data/raw/mms_capture_normalized.csv.gz,54073630,51.57,yes,git-or-small-release-asset
raw_dataset,data/raw/mms_capture_normalized.jsonl.gz,60595725,57.79,yes,git-or-small-release-asset
raw_dataset,data/raw/mms_capture_attack_tags.csv,64976009,61.97,yes,git-or-small-release-asset
raw_dataset,data/raw/hybrid_ids_alerts_full_capture.csv,66986,0.06,yes,git-or-small-release-asset
raw_dataset,data/raw/analysis.txt,6566957,6.26,yes,git-or-small-release-asset
labeled_dataset,data/labels/mms_full_capture_supervised_labels.csv,43316063,41.31,yes,git-or-small-release-asset
labeled_dataset,data/labels/mms_full_capture_scenario_summary.csv,9589,0.01,yes,git-or-small-release-asset
labeled_dataset,data/labels/mms_prepared_supervised_labels.csv,10027899,9.56,yes,git-or-small-release-asset
labeled_dataset,data/labels/mms_prepared_scenario_summary.csv,2086,0.00,yes,git-or-small-release-asset
labeled_dataset,data/labels/scenario_review.csv,34444,0.03,yes,git-or-small-release-asset
labeled_dataset,data/labels/scenario_event_review.csv,235215,0.22,yes,git-or-small-release-asset
sample_data,data/sample/mms_ml_features_100k.csv,36636159,34.94,yes,git-or-small-release-asset
sample_data,data/sample/mms_sample_attack_tags.csv,14622032,13.94,yes,git-or-small-release-asset
sample_data,data/sample/mms_sequence_windows.csv,99158439,94.56,yes,git-or-small-release-asset
sample_data,data/sample/mms_sample_100k.csv,437115101,416.87,no,release-archive-or-doi
sample_data,data/sample/mms_sample_100k.jsonl,445905994,425.25,no,release-archive-or-doi
models_not_in_repo,models/mms_sequence_branch_full_capture_scenariof1_model.joblib,100513,0.10,yes,git-or-small-release-asset
models_not_in_repo,models/mms_sequence_branch_model.joblib,100161,0.10,yes,git-or-small-release-asset
models_not_in_repo,models/mms_sequence_branch_tcn_model.joblib,104145,0.10,yes,git-or-small-release-asset
