event_source,line_number,timestamp,direction,service,src_ip,dst_ip,stream_id,invoke_id,control_object,control_action,ctl_num,origin_identifier,report_seq_num,report_origins,report_ctl_nums,report_control_refs,report_boolean_values,protocol_tag,protocol_reasons,stat_reasons,protocol_score,stat_score,anomaly_score,final_tag,suppressed,summary
packet,921,2026-02-14T01:46:07.721916,RESPONSE,UNCONFIRMED,10.0.19.49,10.0.19.39,10.0.19.39:56638-10.0.19.49:102,,,,,,165,IEDEXPLORER,2,E03A103_CTRL/Q0CSWI1$ST$Pos,true,likely-attack,unexpected_octet_identity_in_control_context;report_origin_not_seen_in_writes;report_without_matching_write,interarrival_outlier,80.00,25.00,100.00,likely-attack,0,Unconfirmed <RPT>
packet,967,2026-02-14T01:46:24.300880,RESPONSE,UNCONFIRMED,10.0.19.49,10.0.19.39,10.0.19.39:56638-10.0.19.49:102,,,,,,,SAT200: 10.0.19.39 Origin:128,118,,,failed-control,last_appl_error,,45.00,0.00,45.00,failed-control,0,Unconfirmed <?>
packet,1088,2026-02-14T01:47:16.993884,RESPONSE,UNCONFIRMED,10.0.19.49,10.0.19.39,10.0.19.39:56638-10.0.19.49:102,,,,,,168,SAT200: 10.0.19.39 Origin:128,117,E03A103_CTRL/Q0CSWI1$ST$Pos,true,failed-control,report_ctlnum_regression;report_without_matching_write,,50.00,0.00,50.00,failed-control,0,Unconfirmed <RPT>
packet,1135,2026-02-14T01:47:34.951319,RESPONSE,UNCONFIRMED,10.0.19.49,10.0.19.39,10.0.19.39:56638-10.0.19.49:102,,,,,,170,IEDEXPLORER,1,E03A103_CTRL/Q1CSWI1$ST$Pos,true,likely-attack,unexpected_octet_identity_in_control_context;report_origin_not_seen_in_writes;report_ctlnum_regression;report_without_matching_write,,85.00,0.00,85.00,likely-attack,0,Unconfirmed <RPT>
packet,1195,2026-02-14T01:47:59.214035,RESPONSE,UNCONFIRMED,10.0.19.49,10.0.19.39,10.0.19.39:56638-10.0.19.49:102,,,,,,175,SAT200: 10.0.19.39 Origin:128,119,E03A103_CTRL/Q0CSWI1$ST$Pos,true,failed-control,report_ctlnum_regression;report_without_matching_write,,50.00,0.00,50.00,failed-control,0,Unconfirmed <RPT>
packet,1559,2026-02-14T01:50:37.951578,RESPONSE,UNCONFIRMED,10.0.19.48,10.0.19.39,10.0.19.39:56634-10.0.19.48:102,,,,,,,SAT200: 10.0.19.39 Origin:128,122,,,failed-control,last_appl_error,,45.00,0.00,45.00,failed-control,0,Unconfirmed <?>
packet,43103,2026-02-14T07:07:34.700260,RESPONSE,UNCONFIRMED,10.0.19.49,10.0.19.39,10.0.19.39:56638-10.0.19.49:102,,,,,,178,SAT200: 10.0.19.39 Origin:128,121,E03A103_CTRL/Q0CSWI1$ST$Pos,true,failed-control,report_without_matching_write,interarrival_outlier,45.00,25.00,70.00,likely-attack,0,Unconfirmed <RPT>
packet,43104,2026-02-14T07:07:34.862275,RESPONSE,UNCONFIRMED,10.0.19.49,10.0.19.39,10.0.19.39:56638-10.0.19.49:102,,,,,,179,IEDEXPLORER,3,E03A103_CTRL/Q0CSWI1$ST$Pos,false,likely-attack,unexpected_octet_identity_in_control_context;report_origin_not_seen_in_writes;report_without_matching_write,,80.00,0.00,80.00,likely-attack,0,Unconfirmed <RPT>
packet,43132,2026-02-14T07:07:45.561733,RESPONSE,UNCONFIRMED,10.0.19.49,10.0.19.39,10.0.19.39:56638-10.0.19.49:102,,,,,,181,SAT200: 10.0.19.39 Origin:128,120,E03A103_CTRL/Q1CSWI1$ST$Pos,true,failed-control,report_ctlnum_regression;report_without_matching_write,,50.00,0.00,50.00,failed-control,0,Unconfirmed <RPT>
packet,43136,2026-02-14T07:07:46.499779,RESPONSE,UNCONFIRMED,10.0.19.49,10.0.19.39,10.0.19.39:56638-10.0.19.49:102,,,,,,183,IEDEXPLORER,4,E03A103_CTRL/Q1CSWI1$ST$Pos,true,likely-attack,unexpected_octet_identity_in_control_context;report_origin_not_seen_in_writes;report_without_matching_write,,80.00,0.00,80.00,likely-attack,0,Unconfirmed <RPT>
packet,43137,2026-02-14T07:07:48.105763,RESPONSE,UNCONFIRMED,10.0.19.49,10.0.19.39,10.0.19.39:56638-10.0.19.49:102,,,,,,184,IEDEXPLORER,4,E03A103_CTRL/Q0CILO1$ST$EnaCls;E03A103_CTRL/Q1CSWI1$ST$Pos;E03A103_CTRL/Q2CILO1$ST$EnaCls;E03A103_CTRL/Q8CILO1$ST$EnaCls,true;false;true;true,likely-attack,unexpected_octet_identity_in_control_context;report_origin_not_seen_in_writes;report_without_matching_write,payload_size_outlier,80.00,4.73,84.73,likely-attack,0,Unconfirmed <RPT>
packet,56650,2026-02-14T09:08:07.849938,RESPONSE,UNCONFIRMED,10.0.19.49,10.0.19.39,10.0.19.39:56638-10.0.19.49:102,,,,,,185,IEDEXPLORER,4,E03A103_CTRL/Q1CSWI1$ST$Pos,true,likely-attack,unexpected_octet_identity_in_control_context;report_origin_not_seen_in_writes;report_without_matching_write,interarrival_outlier,80.00,25.00,100.00,likely-attack,0,Unconfirmed <RPT>
packet,56653,2026-02-14T09:08:08.789403,RESPONSE,UNCONFIRMED,10.0.19.49,10.0.19.39,10.0.19.39:56638-10.0.19.49:102,,,,,,187,IEDEXPLORER,6,E03A103_CTRL/Q1CSWI1$ST$Pos,true,likely-attack,unexpected_octet_identity_in_control_context;report_origin_not_seen_in_writes;report_without_matching_write,,80.00,0.00,80.00,likely-attack,0,Unconfirmed <RPT>
packet,56657,2026-02-14T09:08:10.393604,RESPONSE,UNCONFIRMED,10.0.19.49,10.0.19.39,10.0.19.39:56638-10.0.19.49:102,,,,,,188,IEDEXPLORER,6,E03A103_CTRL/Q0CILO1$ST$EnaCls;E03A103_CTRL/Q1CSWI1$ST$Pos,true;false,likely-attack,unexpected_octet_identity_in_control_context;report_origin_not_seen_in_writes;report_without_matching_write,,80.00,0.00,80.00,likely-attack,0,Unconfirmed <RPT>
