line_number,timestamp,tag,reasons,direction,service,src_ip,dst_ip,stream_id,invoke_id,control_object,control_action,ctl_num,origin_identifier,octet_identities,report_origins,report_ctl_nums,summary
1,2026-02-14T01:39:34.309070,normal,paired_sbow_oper,REQUEST,WRITE,10.0.19.39,10.0.19.49,10.0.19.39:56638-10.0.19.49:102,161851.0,E03A103_CTRL/Q0CSWI1$CO$Pos,SBOw,113,SAT200: 10.0.19.39 Origin:128,SAT200: 10.0.19.39 Origin:128,,,SetDataValueRequest
2,2026-02-14T01:39:37.281612,normal,,RESPONSE,WRITE,10.0.19.49,10.0.19.39,10.0.19.39:56638-10.0.19.49:102,161851.0,,,,,,,,WRITE
3,2026-02-14T01:39:37.284541,failed-control,report_ctlnum_not_seen_in_writes;report_without_matching_write,RESPONSE,UNCONFIRMED,10.0.19.49,10.0.19.39,10.0.19.39:56638-10.0.19.49:102,,,,,,SAT200: 10.0.19.39 Origin:128,SAT200: 10.0.19.39 Origin:128,112,Unconfirmed <RPT>
4,2026-02-14T01:39:37.289420,normal,,RESPONSE,UNCONFIRMED,10.0.19.36,10.0.19.39,10.0.19.36:102-10.0.19.39:56635,,,,,,,,,Unconfirmed <RPT>
5,2026-02-14T01:39:37.296251,normal,,RESPONSE,UNCONFIRMED,10.0.19.36,10.0.19.39,10.0.19.36:102-10.0.19.39:56635,,,,,,,,,Unconfirmed <RPT>
6,2026-02-14T01:39:37.343098,normal,,REQUEST,GET_NAME_LIST,10.0.19.39,10.0.19.48,10.0.19.39:56634-10.0.19.48:102,128847.0,,,,,,,,GetServerDirectoryRequest
7,2026-02-14T01:39:37.349931,normal,,RESPONSE,GET_NAME_LIST,10.0.19.48,10.0.19.39,10.0.19.39:56634-10.0.19.48:102,128847.0,,,,,,,,GET_NAME_LIST
8,2026-02-14T01:39:37.399706,normal,,RESPONSE,UNCONFIRMED,10.0.19.36,10.0.19.39,10.0.19.36:102-10.0.19.39:56635,,,,,,,,,Unconfirmed <RPT>
9,2026-02-14T01:39:37.774882,normal,,RESPONSE,UNCONFIRMED,10.0.19.36,10.0.19.39,10.0.19.36:102-10.0.19.39:56635,,,,,,,,,Unconfirmed <RPT>
10,2026-02-14T01:39:38.082411,normal,paired_sbow_oper,REQUEST,WRITE,10.0.19.39,10.0.19.49,10.0.19.39:56638-10.0.19.49:102,161852.0,E03A103_CTRL/Q0CSWI1$CO$Pos,Oper,113,SAT200: 10.0.19.39 Origin:128,SAT200: 10.0.19.39 Origin:128,,,SetDataValueRequest
11,2026-02-14T01:39:38.125355,normal,,RESPONSE,WRITE,10.0.19.49,10.0.19.39,10.0.19.39:56638-10.0.19.49:102,161852.0,,,,,,,,WRITE
12,2026-02-14T01:39:38.153659,normal,,RESPONSE,UNCONFIRMED,10.0.19.49,10.0.19.39,10.0.19.39:56638-10.0.19.49:102,,,,,,SAT200: 10.0.19.39 Origin:128,SAT200: 10.0.19.39 Origin:128,113,Unconfirmed <?>
13,2026-02-14T01:39:38.165371,normal,,RESPONSE,UNCONFIRMED,10.0.19.49,10.0.19.39,10.0.19.39:56638-10.0.19.49:102,,,,,,SAT200: 10.0.19.39 Origin:128,SAT200: 10.0.19.39 Origin:128,113,Unconfirmed <RPT>
14,2026-02-14T01:39:39.370445,normal,,RESPONSE,UNCONFIRMED,10.0.19.35,10.0.19.39,10.0.19.35:102-10.0.19.39:56631,,,,,,,,,Unconfirmed <RPT>
15,2026-02-14T01:39:39.381181,normal,,RESPONSE,UNCONFIRMED,10.0.19.35,10.0.19.39,10.0.19.35:102-10.0.19.39:56631,,,,,,,,,Unconfirmed <RPT>
16,2026-02-14T01:39:39.485612,normal,,RESPONSE,UNCONFIRMED,10.0.19.35,10.0.19.39,10.0.19.35:102-10.0.19.39:56631,,,,,,,,,Unconfirmed <RPT>
17,2026-02-14T01:39:39.500251,normal,,RESPONSE,UNCONFIRMED,10.0.19.35,10.0.19.39,10.0.19.35:102-10.0.19.39:56631,,,,,,,,,Unconfirmed <RPT>
18,2026-02-14T01:39:39.510014,normal,,RESPONSE,UNCONFIRMED,10.0.19.35,10.0.19.39,10.0.19.35:102-10.0.19.39:56631,,,,,,,,,Unconfirmed <RPT>
19,2026-02-14T01:39:39.530507,normal,,RESPONSE,UNCONFIRMED,10.0.19.35,10.0.19.39,10.0.19.35:102-10.0.19.39:56631,,,,,,,,,Unconfirmed <RPT>
20,2026-02-14T01:39:39.564666,normal,,RESPONSE,UNCONFIRMED,10.0.19.35,10.0.19.39,10.0.19.35:102-10.0.19.39:56631,,,,,,,,,Unconfirmed <RPT>
21,2026-02-14T01:39:39.671050,normal,,RESPONSE,UNCONFIRMED,10.0.19.35,10.0.19.39,10.0.19.35:102-10.0.19.39:56631,,,,,,,,,Unconfirmed <RPT>
22,2026-02-14T01:39:39.880885,normal,,REQUEST,GET_NAME_LIST,10.0.19.39,10.0.19.47,10.0.19.39:56633-10.0.19.47:102,126925.0,,,,,,,,GetServerDirectoryRequest
23,2026-02-14T01:39:39.935541,normal,,RESPONSE,GET_NAME_LIST,10.0.19.47,10.0.19.39,10.0.19.39:56633-10.0.19.47:102,126925.0,,,,,,,,GET_NAME_LIST
24,2026-02-14T01:39:40.431343,normal,,RESPONSE,UNCONFIRMED,10.0.19.36,10.0.19.39,10.0.19.36:102-10.0.19.39:56635,,,,,,,,,Unconfirmed <RPT>
25,2026-02-14T01:39:40.798321,normal,,RESPONSE,UNCONFIRMED,10.0.19.36,10.0.19.39,10.0.19.36:102-10.0.19.39:56635,,,,,,,,,Unconfirmed <RPT>
26,2026-02-14T01:39:41.179933,normal,,REQUEST,GET_NAME_LIST,10.0.19.39,10.0.19.37,10.0.19.37:102-10.0.19.39:61269,75492.0,,,,,,,,GetServerDirectoryRequest
27,2026-02-14T01:39:41.280991,normal,,RESPONSE,GET_NAME_LIST,10.0.19.37,10.0.19.39,10.0.19.37:102-10.0.19.39:61269,75492.0,,,,,,,,GET_NAME_LIST
28,2026-02-14T01:39:43.447732,normal,,RESPONSE,UNCONFIRMED,10.0.19.36,10.0.19.39,10.0.19.36:102-10.0.19.39:56635,,,,,,,,,Unconfirmed <RPT>
29,2026-02-14T01:39:43.867022,normal,,RESPONSE,UNCONFIRMED,10.0.19.36,10.0.19.39,10.0.19.36:102-10.0.19.39:56635,,,,,,,,,Unconfirmed <RPT>
30,2026-02-14T01:39:45.959985,normal,,REQUEST,GET_NAME_LIST,10.0.19.39,10.0.19.48,10.0.19.39:56634-10.0.19.48:102,128848.0,,,,,,,,GetServerDirectoryRequest
31,2026-02-14T01:39:45.990240,normal,,RESPONSE,GET_NAME_LIST,10.0.19.48,10.0.19.39,10.0.19.39:56634-10.0.19.48:102,128848.0,,,,,,,,GET_NAME_LIST
32,2026-02-14T01:39:46.478764,normal,,RESPONSE,UNCONFIRMED,10.0.19.36,10.0.19.39,10.0.19.36:102-10.0.19.39:56635,,,,,,,,,Unconfirmed <RPT>
33,2026-02-14T01:39:46.877685,normal,,RESPONSE,UNCONFIRMED,10.0.19.36,10.0.19.39,10.0.19.36:102-10.0.19.39:56635,,,,,,,,,Unconfirmed <RPT>
34,2026-02-14T01:39:48.162268,normal,,REQUEST,GET_NAME_LIST,10.0.19.39,10.0.19.49,10.0.19.39:56638-10.0.19.49:102,161853.0,,,,,,,,GetServerDirectoryRequest
35,2026-02-14T01:39:48.212043,normal,,RESPONSE,GET_NAME_LIST,10.0.19.49,10.0.19.39,10.0.19.39:56638-10.0.19.49:102,161853.0,,,,,,,,GET_NAME_LIST
