line_number,timestamp,stream_id,src_ip,dst_ip,rogue_origin,data_object,switchgear
423,2026-02-14T01:42:29.429905,10.0.19.39:56638-10.0.19.49:102,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q1CSWI1$ST$Pos,Disconnector
434,2026-02-14T01:42:31.076149,10.0.19.39:56638-10.0.19.49:102,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q0CILO1$ST$EnaCls,Interlocking
434,2026-02-14T01:42:31.076149,10.0.19.39:56638-10.0.19.49:102,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q1CSWI1$ST$Pos,Disconnector
434,2026-02-14T01:42:31.076149,10.0.19.39:56638-10.0.19.49:102,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q8CILO1$ST$EnaCls,Interlocking
504,2026-02-14T01:43:01.376800,10.0.19.39:56638-10.0.19.49:102,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q0CSWI1$ST$Pos,Circuit Breaker
922,2026-02-14T01:46:07.721916,10.0.19.39:56638-10.0.19.49:102,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q0CSWI1$ST$Pos,Circuit Breaker
1136,2026-02-14T01:47:34.951319,10.0.19.39:56638-10.0.19.49:102,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q1CSWI1$ST$Pos,Disconnector
43105,2026-02-14T07:07:34.862275,10.0.19.39:56638-10.0.19.49:102,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q0CSWI1$ST$Pos,Circuit Breaker
43137,2026-02-14T07:07:46.499779,10.0.19.39:56638-10.0.19.49:102,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q1CSWI1$ST$Pos,Disconnector
43138,2026-02-14T07:07:48.105763,10.0.19.39:56638-10.0.19.49:102,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q0CILO1$ST$EnaCls,Interlocking
43138,2026-02-14T07:07:48.105763,10.0.19.39:56638-10.0.19.49:102,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q1CSWI1$ST$Pos,Disconnector
43138,2026-02-14T07:07:48.105763,10.0.19.39:56638-10.0.19.49:102,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q2CILO1$ST$EnaCls,Interlocking
43138,2026-02-14T07:07:48.105763,10.0.19.39:56638-10.0.19.49:102,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q8CILO1$ST$EnaCls,Interlocking
56651,2026-02-14T09:08:07.849938,10.0.19.39:56638-10.0.19.49:102,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q1CSWI1$ST$Pos,Disconnector
