campaign,line_number,timestamp,switchgear_hit
1,423,2026-02-14 01:42:29.429905,Disconnector
1,434,2026-02-14 01:42:31.076149,Disconnector + Interlocking
1,504,2026-02-14 01:43:01.376800,Circuit Breaker
1,922,2026-02-14 01:46:07.721916,Circuit Breaker
1,1136,2026-02-14 01:47:34.951319,Disconnector
2,43105,2026-02-14 07:07:34.862275,Circuit Breaker
2,43137,2026-02-14 07:07:46.499779,Disconnector
2,43138,2026-02-14 07:07:48.105763,Disconnector + Interlocking
3,56651,2026-02-14 09:08:07.849938,Disconnector
3,56654,2026-02-14 09:08:08.789403,Disconnector
3,56658,2026-02-14 09:08:10.393604,Disconnector + Interlocking
3,56679,2026-02-14 09:08:21.671203,Circuit Breaker
3,56681,2026-02-14 09:08:21.872255,Circuit Breaker
4,74322,2026-02-14 11:38:00.654929,Circuit Breaker
4,74356,2026-02-14 11:38:17.182449,Disconnector
5,105999,2026-02-14 15:54:12.840244,Circuit Breaker + Interlocking
5,106178,2026-02-14 15:55:40.164557,Circuit Breaker
5,106180,2026-02-14 15:55:40.390985,Circuit Breaker
5,106322,2026-02-14 15:56:48.176338,Circuit Breaker
5,106626,2026-02-14 15:58:50.420495,Disconnector
5,106629,2026-02-14 15:58:51.903478,Disconnector + Interlocking
5,106767,2026-02-14 15:59:52.947114,Disconnector
5,106772,2026-02-14 15:59:53.877613,Disconnector
5,106781,2026-02-14 15:59:55.480597,Disconnector
6,165401,2026-02-15 00:52:07.224439,Circuit Breaker + Interlocking
6,165405,2026-02-15 00:52:08.041074,Circuit Breaker + Interlocking
6,166882,2026-02-15 01:02:49.323911,Disconnector
6,166894,2026-02-15 01:02:50.930384,Disconnector + Interlocking
6,166928,2026-02-15 01:03:09.186210,Circuit Breaker
6,166930,2026-02-15 01:03:09.447775,Circuit Breaker
7,173971,2026-02-15 01:54:52.982528,Circuit Breaker
7,173972,2026-02-15 01:54:53.145008,Circuit Breaker + Interlocking
7,174014,2026-02-15 01:55:11.161359,Disconnector
7,174018,2026-02-15 01:55:12.101293,Disconnector
7,174019,2026-02-15 01:55:13.838724,Disconnector + Interlocking
7,174131,2026-02-15 01:56:03.269290,Circuit Breaker
7,174133,2026-02-15 01:56:03.443016,Circuit Breaker
7,175069,2026-02-15 02:02:55.890848,Disconnector
8,206992,2026-02-15 05:57:12.938226,Circuit Breaker
8,207011,2026-02-15 05:57:21.002867,Disconnector
9,237565,2026-02-15 09:54:31.687580,Circuit Breaker + Interlocking
9,237787,2026-02-15 09:56:17.804785,Disconnector
9,237792,2026-02-15 09:56:19.388810,Disconnector
10,244918,2026-02-15 10:54:01.427673,Disconnector
10,244920,2026-02-15 10:54:02.363127,Disconnector
10,244922,2026-02-15 10:54:03.991219,Disconnector + Interlocking
10,244942,2026-02-15 10:54:13.929991,Circuit Breaker
10,244944,2026-02-15 10:54:14.126161,Circuit Breaker
11,269468,2026-02-15 14:12:32.928308,Circuit Breaker
11,269496,2026-02-15 14:12:42.062247,Disconnector
11,270732,2026-02-15 14:21:35.526053,Circuit Breaker + Interlocking
11,270779,2026-02-15 14:21:56.075147,Disconnector
11,270782,2026-02-15 14:21:57.620372,Disconnector + Interlocking
11,270915,2026-02-15 14:22:56.195705,Disconnector
11,270917,2026-02-15 14:22:57.134892,Disconnector
11,270930,2026-02-15 14:22:58.738438,Disconnector + Interlocking
11,270959,2026-02-15 14:23:14.276280,Circuit Breaker
11,270961,2026-02-15 14:23:14.509117,Circuit Breaker
11,271500,2026-02-15 14:27:09.372988,Earth Switch
11,271503,2026-02-15 14:27:10.976533,Earth Switch + Interlocking
11,271574,2026-02-15 14:27:43.993681,Earth Switch
11,271579,2026-02-15 14:27:44.911834,Earth Switch
11,271582,2026-02-15 14:27:46.516086,Earth Switch + Interlocking
12,283465,2026-02-15 15:55:24.125892,Circuit Breaker + Interlocking
12,283569,2026-02-15 15:56:11.040755,Disconnector
