seq,line_number,timestamp,src_ip,dst_ip,rogue_origin,objects_targeted,switchgear_types,n_objects
1,423,2026-02-14 01:42:29.429905,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q1CSWI1$ST$Pos,Disconnector,1
2,434,2026-02-14 01:42:31.076149,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q0CILO1$ST$EnaCls; E03A103_CTRL/Q1CSWI1$ST$Pos; E03A103_CTRL/Q8CILO1$ST$EnaCls,"Disconnector, Interlocking",3
3,504,2026-02-14 01:43:01.376800,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q0CSWI1$ST$Pos,Circuit Breaker,1
4,922,2026-02-14 01:46:07.721916,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q0CSWI1$ST$Pos,Circuit Breaker,1
5,1136,2026-02-14 01:47:34.951319,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q1CSWI1$ST$Pos,Disconnector,1
6,43105,2026-02-14 07:07:34.862275,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q0CSWI1$ST$Pos,Circuit Breaker,1
7,43137,2026-02-14 07:07:46.499779,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q1CSWI1$ST$Pos,Disconnector,1
8,43138,2026-02-14 07:07:48.105763,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q0CILO1$ST$EnaCls; E03A103_CTRL/Q1CSWI1$ST$Pos; E03A103_CTRL/Q2CILO1$ST$EnaCls; E03A103_CTRL/Q8CILO1$ST$EnaCls,"Disconnector, Interlocking",4
9,56651,2026-02-14 09:08:07.849938,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q1CSWI1$ST$Pos,Disconnector,1
10,56654,2026-02-14 09:08:08.789403,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q1CSWI1$ST$Pos,Disconnector,1
11,56658,2026-02-14 09:08:10.393604,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q0CILO1$ST$EnaCls; E03A103_CTRL/Q1CSWI1$ST$Pos,"Disconnector, Interlocking",2
12,56679,2026-02-14 09:08:21.671203,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q0CSWI1$ST$Pos,Circuit Breaker,1
13,56681,2026-02-14 09:08:21.872255,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q0CSWI1$ST$Pos,Circuit Breaker,1
14,74322,2026-02-14 11:38:00.654929,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q0CSWI1$ST$Pos,Circuit Breaker,1
15,74356,2026-02-14 11:38:17.182449,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q1CSWI1$ST$Pos,Disconnector,1
16,105999,2026-02-14 15:54:12.840244,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q0CSWI1$ST$Pos; E03A103_CTRL/Q1CILO1$ST$EnaCls; E03A103_CTRL/Q2CILO1$ST$EnaCls,"Circuit Breaker, Interlocking",3
17,106178,2026-02-14 15:55:40.164557,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q0CSWI1$ST$Pos,Circuit Breaker,1
18,106180,2026-02-14 15:55:40.390985,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q0CSWI1$ST$Pos,Circuit Breaker,1
19,106322,2026-02-14 15:56:48.176338,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q0CSWI1$ST$Pos,Circuit Breaker,1
20,106626,2026-02-14 15:58:50.420495,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q1CSWI1$ST$Pos,Disconnector,1
21,106629,2026-02-14 15:58:51.903478,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q0CILO1$ST$EnaCls; E03A103_CTRL/Q1CSWI1$ST$Pos; E03A103_CTRL/Q8CILO1$ST$EnaCls,"Disconnector, Interlocking",3
22,106767,2026-02-14 15:59:52.947114,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q1CSWI1$ST$Pos,Disconnector,1
23,106772,2026-02-14 15:59:53.877613,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q1CSWI1$ST$Pos,Disconnector,1
24,106781,2026-02-14 15:59:55.480597,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q1CSWI1$ST$Pos,Disconnector,1
25,165401,2026-02-15 00:52:07.224439,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q0CSWI1$ST$Pos; E01A103_CTRL/Q1CILO1$ST$EnaCls,"Circuit Breaker, Interlocking",2
26,165405,2026-02-15 00:52:08.041074,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q0CSWI1$ST$Pos; E01A103_CTRL/Q1CILO1$ST$EnaCls,"Circuit Breaker, Interlocking",2
27,166882,2026-02-15 01:02:49.323911,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q1CSWI1$ST$Pos,Disconnector,1
28,166894,2026-02-15 01:02:50.930384,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q0CILO1$ST$EnaCls; E01A103_CTRL/Q1CSWI1$ST$Pos; E01A103_CTRL/Q2CILO1$ST$EnaCls; E01A103_CTRL/Q8CILO1$ST$EnaCls,"Disconnector, Interlocking",4
