======================================================================
  PACKET-LEVEL SUMMARY REPORT
  Total unique attack packets: 105
======================================================================

  Seq  Timestamp                  Src IP         Switchgear Types                         Objects
  ---- -------------------------- -------------- ---------------------------------------- ------
  1    2026-02-14 01:42:29        10.0.19.49     Disconnector                             1
  2    2026-02-14 01:42:31        10.0.19.49     Disconnector, Interlocking               3
  3    2026-02-14 01:43:01        10.0.19.49     Circuit Breaker                          1
  4    2026-02-14 01:46:07        10.0.19.49     Circuit Breaker                          1
  5    2026-02-14 01:47:34        10.0.19.49     Disconnector                             1
  6    2026-02-14 07:07:34        10.0.19.49     Circuit Breaker                          1
  7    2026-02-14 07:07:46        10.0.19.49     Disconnector                             1
  8    2026-02-14 07:07:48        10.0.19.49     Disconnector, Interlocking               4
  9    2026-02-14 09:08:07        10.0.19.49     Disconnector                             1
  10   2026-02-14 09:08:08        10.0.19.49     Disconnector                             1
  11   2026-02-14 09:08:10        10.0.19.49     Disconnector, Interlocking               2
  12   2026-02-14 09:08:21        10.0.19.49     Circuit Breaker                          1
  13   2026-02-14 09:08:21        10.0.19.49     Circuit Breaker                          1
  14   2026-02-14 11:38:00        10.0.19.49     Circuit Breaker                          1
  15   2026-02-14 11:38:17        10.0.19.49     Disconnector                             1
  16   2026-02-14 15:54:12        10.0.19.49     Circuit Breaker, Interlocking            3
  17   2026-02-14 15:55:40        10.0.19.49     Circuit Breaker                          1
  18   2026-02-14 15:55:40        10.0.19.49     Circuit Breaker                          1
  19   2026-02-14 15:56:48        10.0.19.49     Circuit Breaker                          1
  20   2026-02-14 15:58:50        10.0.19.49     Disconnector                             1
  21   2026-02-14 15:58:51        10.0.19.49     Disconnector, Interlocking               3
  22   2026-02-14 15:59:52        10.0.19.49     Disconnector                             1
  23   2026-02-14 15:59:53        10.0.19.49     Disconnector                             1
  24   2026-02-14 15:59:55        10.0.19.49     Disconnector                             1
  25   2026-02-15 00:52:07        10.0.19.47     Circuit Breaker, Interlocking            2
  26   2026-02-15 00:52:08        10.0.19.47     Circuit Breaker, Interlocking            2
  27   2026-02-15 01:02:49        10.0.19.47     Disconnector                             1
  28   2026-02-15 01:02:50        10.0.19.47     Disconnector, Interlocking               4
  29   2026-02-15 01:03:09        10.0.19.47     Circuit Breaker                          1
  30   2026-02-15 01:03:09        10.0.19.47     Circuit Breaker                          1
  31   2026-02-15 01:54:52        10.0.19.47     Circuit Breaker                          1
  32   2026-02-15 01:54:53        10.0.19.47     Circuit Breaker, Interlocking            3
  33   2026-02-15 01:55:11        10.0.19.47     Disconnector                             1
  34   2026-02-15 01:55:12        10.0.19.47     Disconnector                             1
  35   2026-02-15 01:55:13        10.0.19.47     Disconnector, Interlocking               2
  36   2026-02-15 01:56:03        10.0.19.47     Circuit Breaker                          1
  37   2026-02-15 01:56:03        10.0.19.47     Circuit Breaker                          1
  38   2026-02-15 02:02:55        10.0.19.49     Disconnector                             1
  39   2026-02-15 05:57:12        10.0.19.47     Circuit Breaker                          1
  40   2026-02-15 05:57:21        10.0.19.47     Disconnector                             1
  41   2026-02-15 09:54:31        10.0.19.47     Circuit Breaker, Interlocking            2
  42   2026-02-15 09:56:17        10.0.19.47     Disconnector                             1
  43   2026-02-15 09:56:19        10.0.19.47     Disconnector                             1
  44   2026-02-15 10:54:01        10.0.19.47     Disconnector                             1
  45   2026-02-15 10:54:02        10.0.19.47     Disconnector                             1
  46   2026-02-15 10:54:03        10.0.19.47     Disconnector, Interlocking               2
  47   2026-02-15 10:54:13        10.0.19.47     Circuit Breaker                          1
  48   2026-02-15 10:54:14        10.0.19.47     Circuit Breaker                          1
  49   2026-02-15 14:12:32        10.0.19.47     Circuit Breaker                          1
  50   2026-02-15 14:12:42        10.0.19.47     Disconnector                             1
  51   2026-02-15 14:21:35        10.0.19.49     Circuit Breaker, Interlocking            2
  52   2026-02-15 14:21:56        10.0.19.49     Disconnector                             1
  53   2026-02-15 14:21:57        10.0.19.49     Disconnector, Interlocking               4
  54   2026-02-15 14:22:56        10.0.19.49     Disconnector                             1
  55   2026-02-15 14:22:57        10.0.19.49     Disconnector                             1
  56   2026-02-15 14:22:58        10.0.19.49     Disconnector, Interlocking               2
  57   2026-02-15 14:23:14        10.0.19.49     Circuit Breaker                          1
  58   2026-02-15 14:23:14        10.0.19.49     Circuit Breaker                          1
  59   2026-02-15 14:27:09        10.0.19.47     Earth Switch                             1
  60   2026-02-15 14:27:10        10.0.19.47     Earth Switch, Interlocking               2
  61   2026-02-15 14:27:43        10.0.19.47     Earth Switch                             1
  62   2026-02-15 14:27:44        10.0.19.47     Earth Switch                             1
  63   2026-02-15 14:27:46        10.0.19.47     Earth Switch, Interlocking               2
  64   2026-02-15 15:55:24        10.0.19.47     Circuit Breaker, Interlocking            2
  65   2026-02-15 15:56:11        10.0.19.47     Disconnector                             1
  66   2026-02-15 15:56:12        10.0.19.47     Disconnector, Interlocking               4
  67   2026-02-15 15:56:44        10.0.19.47     Disconnector                             1
  68   2026-02-15 15:56:45        10.0.19.47     Disconnector, Interlocking               2
  69   2026-02-15 15:57:02        10.0.19.47     Circuit Breaker                          1
  70   2026-02-15 15:57:03        10.0.19.47     Circuit Breaker                          1
  71   2026-02-15 15:59:38        10.0.19.49     Circuit Breaker                          1
  72   2026-02-15 15:59:38        10.0.19.49     Circuit Breaker, Interlocking            2
  73   2026-02-15 16:00:06        10.0.19.49     Disconnector                             1
  74   2026-02-15 16:00:07        10.0.19.49     Disconnector                             1
  75   2026-02-15 16:00:09        10.0.19.49     Disconnector, Interlocking               4
  76   2026-02-15 16:00:38        10.0.19.49     Disconnector                             1
  77   2026-02-15 16:00:39        10.0.19.49     Disconnector, Interlocking               2
  78   2026-02-15 16:00:53        10.0.19.49     Circuit Breaker                          1
  79   2026-02-15 16:00:53        10.0.19.49     Circuit Breaker                          1
  80   2026-02-16 00:09:18        10.0.19.47     Circuit Breaker                          1
  81   2026-02-16 00:09:30        10.0.19.47     Disconnector                             1
  82   2026-02-16 00:11:04        10.0.19.49     Circuit Breaker                          1
  83   2026-02-16 00:11:27        10.0.19.49     Disconnector                             1
  84   2026-02-16 01:19:50        10.0.19.47     Disconnector                             1
  85   2026-02-16 01:23:51        10.0.19.49     Disconnector                             1
  86   2026-02-16 02:44:30        10.0.19.49     Circuit Breaker, Interlocking            2
  87   2026-02-16 02:44:53        10.0.19.49     Disconnector                             1
