event_source,line_number,timestamp,direction,service,src_ip,dst_ip,stream_id,invoke_id,control_object,control_action,ctl_num,origin_identifier,report_seq_num,report_origins,report_ctl_nums,report_control_refs,report_boolean_values,protocol_tag,protocol_reasons,stat_reasons,protocol_score,stat_score,anomaly_score,final_tag,suppressed,summary
packet,422,2026-02-14T01:42:29.429905,RESPONSE,UNCONFIRMED,10.0.19.49,10.0.19.39,10.0.19.39:56638-10.0.19.49:102,,,,,,160,IEDEXPLORER,1,E03A103_CTRL/Q1CSWI1$ST$Pos,true,likely-attack,unexpected_octet_identity_in_control_context;report_origin_not_seen_in_writes;report_without_matching_write,,80.00,0.00,80.00,likely-attack,0,Unconfirmed <RPT>
packet,433,2026-02-14T01:42:31.076149,RESPONSE,UNCONFIRMED,10.0.19.49,10.0.19.39,10.0.19.39:56638-10.0.19.49:102,,,,,,161,IEDEXPLORER,1,E03A103_CTRL/Q0CILO1$ST$EnaCls;E03A103_CTRL/Q1CSWI1$ST$Pos;E03A103_CTRL/Q8CILO1$ST$EnaCls,true;false;true,likely-attack,unexpected_octet_identity_in_control_context;report_origin_not_seen_in_writes;report_without_matching_write,,80.00,0.00,80.00,likely-attack,0,Unconfirmed <RPT>
packet,503,2026-02-14T01:43:01.376800,RESPONSE,UNCONFIRMED,10.0.19.49,10.0.19.39,10.0.19.39:56638-10.0.19.49:102,,,,,,163,IEDEXPLORER,2,E03A103_CTRL/Q0CSWI1$ST$Pos,false,likely-attack,unexpected_octet_identity_in_control_context;report_origin_not_seen_in_writes;report_without_matching_write,,80.00,0.00,80.00,likely-attack,0,Unconfirmed <RPT>
packet,921,2026-02-14T01:46:07.721916,RESPONSE,UNCONFIRMED,10.0.19.49,10.0.19.39,10.0.19.39:56638-10.0.19.49:102,,,,,,165,IEDEXPLORER,2,E03A103_CTRL/Q0CSWI1$ST$Pos,true,likely-attack,unexpected_octet_identity_in_control_context;report_origin_not_seen_in_writes;report_without_matching_write,interarrival_outlier,80.00,25.00,100.00,likely-attack,0,Unconfirmed <RPT>
packet,939,2026-02-14T01:46:12.485083,RESPONSE,UNCONFIRMED,10.0.19.49,10.0.19.39,10.0.19.39:56638-10.0.19.49:102,,,,,,,SAT200: 10.0.19.39 Origin:128,117,,true;false,failed-control,report_without_matching_write,,45.00,0.00,45.00,failed-control,0,Unconfirmed <?>
packet,940,2026-02-14T01:46:12.505579,RESPONSE,UNCONFIRMED,10.0.19.49,10.0.19.39,10.0.19.39:56638-10.0.19.49:102,,,,,,167,SAT200: 10.0.19.39 Origin:128,117,E03A103_CTRL/Q0CSWI1$ST$Pos,false,failed-control,report_without_matching_write,,45.00,0.00,45.00,failed-control,0,Unconfirmed <RPT>
packet,967,2026-02-14T01:46:24.300880,RESPONSE,UNCONFIRMED,10.0.19.49,10.0.19.39,10.0.19.39:56638-10.0.19.49:102,,,,,,,SAT200: 10.0.19.39 Origin:128,118,,,failed-control,last_appl_error;report_without_matching_write,,50.00,0.00,50.00,failed-control,0,Unconfirmed <?>
packet,1088,2026-02-14T01:47:16.993884,RESPONSE,UNCONFIRMED,10.0.19.49,10.0.19.39,10.0.19.39:56638-10.0.19.49:102,,,,,,168,SAT200: 10.0.19.39 Origin:128,117,E03A103_CTRL/Q0CSWI1$ST$Pos,true,failed-control,report_ctlnum_regression;report_without_matching_write,,50.00,0.00,50.00,failed-control,0,Unconfirmed <RPT>
packet,1107,2026-02-14T01:47:21.507618,RESPONSE,UNCONFIRMED,10.0.19.49,10.0.19.39,10.0.19.39:56638-10.0.19.49:102,,,,,,,SAT200: 10.0.19.39 Origin:128,119,,false;false,failed-control,report_without_matching_write,,45.00,0.00,45.00,failed-control,0,Unconfirmed <?>
packet,1108,2026-02-14T01:47:21.513473,RESPONSE,UNCONFIRMED,10.0.19.49,10.0.19.39,10.0.19.39:56638-10.0.19.49:102,,,,,,169,SAT200: 10.0.19.39 Origin:128,119,E03A103_CTRL/Q0CSWI1$ST$Pos;E03A103_CTRL/Q1CILO1$ST$EnaCls;E03A103_CTRL/Q2CILO1$ST$EnaCls,false;true;true,failed-control,report_without_matching_write,,45.00,0.00,45.00,failed-control,0,Unconfirmed <RPT>
packet,1135,2026-02-14T01:47:34.951319,RESPONSE,UNCONFIRMED,10.0.19.49,10.0.19.39,10.0.19.39:56638-10.0.19.49:102,,,,,,170,IEDEXPLORER,1,E03A103_CTRL/Q1CSWI1$ST$Pos,true,likely-attack,unexpected_octet_identity_in_control_context;report_origin_not_seen_in_writes;report_ctlnum_regression;report_without_matching_write,,85.00,0.00,85.00,likely-attack,0,Unconfirmed <RPT>
packet,1147,2026-02-14T01:47:39.418801,RESPONSE,UNCONFIRMED,10.0.19.49,10.0.19.39,10.0.19.39:56638-10.0.19.49:102,,,,,,172,SAT200: 10.0.19.39 Origin:128,120,E03A103_CTRL/Q1CSWI1$ST$Pos,true,failed-control,report_without_matching_write,,45.00,0.00,45.00,failed-control,0,Unconfirmed <RPT>
packet,1158,2026-02-14T01:47:41.058244,RESPONSE,UNCONFIRMED,10.0.19.49,10.0.19.39,10.0.19.39:56638-10.0.19.49:102,,,,,,,SAT200: 10.0.19.39 Origin:128,120,,true;false,failed-control,report_without_matching_write,,45.00,0.00,45.00,failed-control,0,Unconfirmed <?>
packet,1159,2026-02-14T01:47:41.091936,RESPONSE,UNCONFIRMED,10.0.19.49,10.0.19.39,10.0.19.39:56638-10.0.19.49:102,,,,,,173,SAT200: 10.0.19.39 Origin:128,120,E03A103_CTRL/Q1CSWI1$ST$Pos,false,failed-control,report_without_matching_write,,45.00,0.00,45.00,failed-control,0,Unconfirmed <RPT>
packet,1195,2026-02-14T01:47:59.214035,RESPONSE,UNCONFIRMED,10.0.19.49,10.0.19.39,10.0.19.39:56638-10.0.19.49:102,,,,,,175,SAT200: 10.0.19.39 Origin:128,119,E03A103_CTRL/Q0CSWI1$ST$Pos,true,failed-control,report_ctlnum_regression;report_without_matching_write,,50.00,0.00,50.00,failed-control,0,Unconfirmed <RPT>
packet,1211,2026-02-14T01:48:02.477000,RESPONSE,UNCONFIRMED,10.0.19.49,10.0.19.39,10.0.19.39:56638-10.0.19.49:102,,,,,,,SAT200: 10.0.19.39 Origin:128,121,,true;false,failed-control,report_without_matching_write,,45.00,0.00,45.00,failed-control,0,Unconfirmed <?>
packet,1212,2026-02-14T01:48:02.482858,RESPONSE,UNCONFIRMED,10.0.19.49,10.0.19.39,10.0.19.39:56638-10.0.19.49:102,,,,,,177,SAT200: 10.0.19.39 Origin:128,121,E03A103_CTRL/Q0CSWI1$ST$Pos,false,failed-control,report_without_matching_write,,45.00,0.00,45.00,failed-control,0,Unconfirmed <RPT>
packet,1559,2026-02-14T01:50:37.951578,RESPONSE,UNCONFIRMED,10.0.19.48,10.0.19.39,10.0.19.39:56634-10.0.19.48:102,,,,,,,SAT200: 10.0.19.39 Origin:128,122,,,failed-control,last_appl_error;report_without_matching_write,,50.00,0.00,50.00,failed-control,0,Unconfirmed <?>
